	x		 f(x)		f'(x)		f"(x)
      1.00	         0.71	         0.49	         0.25
      2.00	         0.98	         0.32	         0.15
      3.00	         0.97	         0.18	         0.08
      4.00	         0.83	         0.08	         0.03
      5.00	         0.62	        -0.00	        -0.00
      6.00	         0.41	        -0.06	        -0.02
      7.00	         0.23	        -0.11	        -0.03
      8.00	         0.09	        -0.13	        -0.04
      9.00	         0.02	        -0.15	        -0.04
     10.00	         0.00	        -0.15	        -0.04
